Año;Periodo;Parámetro;Aranceles
2025;Año;Afghanistan;24.0
2025;Año;Albania;10.0
2025;Año;Andorra;10.0
2025;Año;Angola;32.0
2025;Año;Antigua and Barbuda;10.0
2025;Año;Saudi Arabia;10.0
2025;Año;Falkland Islands;41.0
2025;Año;Algeria;30.0
2025;Año;Argentina;10.0
2025;Año;Armenia;10.0
2025;Año;Aruba;10.0
2025;Año;Australia;10.0
2025;Año;Austria;20.0
2025;Año;Azerbaijan;10.0
2025;Año;The Bahamas;10.0
2025;Año;Bangladesh;37.0
2025;Año;Barbados;10.0
2025;Año;Bahrain;10.0
2025;Año;Belgium;20.0
2025;Año;Belize;10.0
2025;Año;Benin;10.0
2025;Año;Bolivia;10.0
2025;Año;Bosnia and Herzegovina;35.0
2025;Año;Botswana;37.0
2025;Año;Brazil;10.0
2025;Año;Brunei Darussalam;24.0
2025;Año;Bulgaria;20.0
2025;Año;Burundi;10.0
2025;Año;Bhutan;10.0
2025;Año;Cape Verde;10.0
2025;Año;Cape Verde;10.0
2025;Año;Cambodia;49.0
2025;Año;Cameroon;11.0
2025;Año;Chad;13.0
2025;Año;Chile;10.0
2025;Año;China;104.0
2025;Año;Colombia;10.0
2025;Año;Comoros;10.0
2025;Año;South Korea;25.0
2025;Año;Canada;25.0
2025;Año;Costa Rica;10.0
2025;Año;Ivory Coast;21.0
2025;Año;Croatia;20.0
2025;Año;Curaçao;10.0
2025;Año;Cyprus;20.0
2025;Año;Czechia;20.0
2025;Año;Denmark;20.0
2025;Año;Dominica;10.0
2025;Año;Ecuador;10.0
2025;Año;Egypt;10.0
2025;Año;El Salvador;10.0
2025;Año;United Arab Emirates;10.0
2025;Año;Iraq;39.0
2025;Año;Eritrea;10.0
2025;Año;Estonia;20.0
2025;Año;Swaziland;10.0
2025;Año;Ethiopia;10.0
2025;Año;Philippines;17.0
2025;Año;Finland;20.0
2025;Año;Fiji;32.0
2025;Año;France;20.0
2025;Año;Gabon;10.0
2025;Año;Gambia;10.0
2025;Año;Georgia;10.0
2025;Año;Germany;20.0
2025;Año;Ghana;10.0
2025;Año;Greece;20.0
2025;Año;Guatemala;10.0
2025;Año;Guinea;10.0
2025;Año;Equatorial Guinea;13.0
2025;Año;Guinea-Bissau;10.0
2025;Año;Guyana;38.0
2025;Año;Haiti;10.0
2025;Año;Honduras;10.0
2025;Año;Hungary;20.0
2025;Año;India;26.0
2025;Año;Indonesia;32.0
2025;Año;Iran;10.0
2025;Año;Ireland;20.0
2025;Año;Isla Christmas;10.0
2025;Año;Isla Norfolk;29.0
2025;Año;Iceland;10.0
2025;Año;Islas Cocos (Keeling);10.0
2025;Año;Cook Islands;10.0
2025;Año;Islas Heard y McDonald;10.0
2025;Año;Qatar;10.0
2025;Año;Islas Marshall;10.0
2025;Año;Solomon Islands;10.0
2025;Año;Israel;17.0
2025;Año;Italy;20.0
2025;Año;Jamaica;10.0
2025;Año;Japan;24.0
2025;Año;Jordan;20.0
2025;Año;Kazakhstan;27.0
2025;Año;Kenya;10.0
2025;Año;Kyrgyzstan;10.0
2025;Año;Kiribati;10.0
2025;Año;Kuwait;10.0
2025;Año;Laos;48.0
2025;Año;Latvia;20.0
2025;Año;Lesotho;50.0
2025;Año;Mexico;25.0
2025;Año;Liberia;10.0
2025;Año;Libya;31.0
2025;Año;Liechtenstein;37.0
2025;Año;Lithuania;20.0
2025;Año;Luxembourg;20.0
2025;Año;Lebanon;10.0
2025;Año;Macedonia del Norte;33.0
2025;Año;Madagascar;47.0
2025;Año;Malaysia;24.0
2025;Año;Malawi;17.0
2025;Año;Maldives;10.0
2025;Año;Mali;10.0
2025;Año;Malta;20.0
2025;Año;Morocco;10.0
2025;Año;Mauritius;40.0
2025;Año;Mauritania;10.0
2025;Año;Micronesia, Federated States of;10.0
2025;Año;Moldova;31.0
2025;Año;Monaco;41.0
2025;Año;Mongolia;10.0
2025;Año;Montenegro;10.0
2025;Año;Mozambique;16.0
2025;Año;Myanmar;44.0
2025;Año;Namibia;21.0
2025;Año;Nauru;30.0
2025;Año;Nepal;10.0
2025;Año;Netherlands;10.0
2025;Año;Netherlands;20.0
2025;Año;Nicaragua;18.0
2025;Año;Niger;10.0
2025;Año;Nigeria;14.0
2025;Año;Norway;15.0
2025;Año;Norway;10.0
2025;Año;New Zealand;10.0
2025;Año;Oman;10.0
2025;Año;Pakistan;29.0
2025;Año;Panama;10.0
2025;Año;Papua New Guinea;10.0
2025;Año;Paraguay;10.0
2025;Año;Peru;10.0
2025;Año;Poland;20.0
2025;Año;Portugal;20.0
2025;Año;England;10.0
2025;Año;Central African Republic;10.0
2025;Año;Democratic Republic of the Congo;11.0
2025;Año;Dominican Republic;10.0
2025;Año;Republic of the Congo;10.0
2025;Año;Romania;20.0
2025;Año;Rwanda;10.0
2025;Año;Saint Kitts y Nevis;10.0
2025;Año;Samoa;10.0
2025;Año;San Marino;10.0
2025;Año;Saint Vincent and the Grenadines;10.0
2025;Año;Santa Helena;10.0
2025;Año;Saint Lucia;10.0
2025;Año;São Tomé and Príncipe;10.0
2025;Año;Senegal;10.0
2025;Año;Serbia;37.0
2025;Año;Serbia;10.0
2025;Año;Sierra Leone;10.0
2025;Año;Singapore;10.0
2025;Año;Syria;41.0
2025;Año;Slovakia;20.0
2025;Año;Slovenia;20.0
2025;Año;Spain;20.0
2025;Año;Spain;10.0
2025;Año;Sri Lanka;44.0
2025;Año;Sudan;10.0
2025;Año;South Africa;30.0
2025;Año;South Sudan;10.0
2025;Año;Switzerland;31.0
2025;Año;Suriname;10.0
2025;Año;Sweden;20.0
2025;Año;Thailand;36.0
2025;Año;Taiwan;32.0
2025;Año;United Republic of Tanzania;10.0
2025;Año;Tajikistan;10.0
2025;Año;Timor-Leste;10.0
2025;Año;Togo;10.0
2025;Año;Tokelau;10.0
2025;Año;Tonga;10.0
2025;Año;Trinidad and Tobago;10.0
2025;Año;Turkmenistan;10.0
2025;Año;Turkey;10.0
2025;Año;Tuvalu;10.0
2025;Año;Tunisia;28.0
2025;Año;Ukraine;10.0
2025;Año;Uganda;10.0
2025;Año;United Kingdom;41.0
2025;Año;Uruguay;10.0
2025;Año;Uzbekistan;10.0
2025;Año;Puerto Rico;10.0
2025;Año;Vanuatu;22.0
2025;Año;Venezuela;15.0
2025;Año;Vietnam;46.0
2025;Año;Yemen;10.0
2025;Año;Djibouti;10.0
2025;Año;Zambia;17.0
2025;Año;Zimbabwe;18.0
;;;
;;;
"Métrica:""Aranceles""";;;
"Fuente:""Casa Blanca""";;;
"Clasificación:""""";;;
"Unidad:""%""";;;
"Escala:""Unidades""";;;
"EscalaFactorPotencia10:""0""";;;
"SonDatosNumericos:""True""";;;
;;;
;;;
"Url:""https://www.epdata.es/nuevos-aranceles-importaciones-cada-pais-impuestos-eeuu/545ae8ce-29e8-4885-9b76-035dbefe0a7e""";;;
"Titulo:""Nuevos aranceles a las importaciones de cada país impuestos por EEUU""";;;
"Subtitulo:""Actualizado a 9 de abril""";;;
