"Año";"Periodo";"Parámetro";"€"
"2024";"Año";"Arabia Saudí";"36,8"
"2024";"Año";"Argelia";"15,7"
"2024";"Año";"Australia";"38,6"
"2024";"Año";"Brasil";"43,4"
"2024";"Año";"Canadá";"47,8"
"2024";"Año";"Chile";"11,2"
"2024";"Año";"China";"213,3"
"2024";"Año";"Corea del Sur";"55,7"
"2024";"Año";"EEUU";"531,6"
"2024";"Año";"Egipto";"19,9"
"2024";"Año";"Emiratos Árabes";"44,3"
"2024";"Año";"Hong Kong";"24,0"
"2024";"Año";"India";"48,7"
"2024";"Año";"Indonesia";"9,8"
"2024";"Año";"Israel";"26,6"
"2024";"Año";"Japón";"66,8"
"2024";"Año";"Kazajistán";"11,5"
"2024";"Año";"Malasia";"17,8"
"2024";"Año";"Marruecos";"35,3"
"2024";"Año";"México";"53,1"
"2024";"Año";"Nigeria";"10,2"
"2024";"Año";"Noruega";"62,7"
"2024";"Año";"Reino Unido";"340,2"
"2024";"Año";"Rusia";"31,6"
"2024";"Año";"Serbia";"24,1"
"2024";"Año";"Singapur";"30,3"
"2024";"Año";"Sudáfrica";"24,2"
"2024";"Año";"Suiza";"194,4"
"2024";"Año";"Tailandia";"14,6"
"2024";"Año";"Taiwán";"28,6"
"2024";"Año";"Túnez";"12,1"
"2024";"Año";"Turquía";"112,4"
"2024";"Año";"Ucrania";"42,7"
"2024";"Año";"Vietnam";"12,3"
;;
;;
"Métrica":"€"
"Fuente":"Eurostat"
"Clasificación":""
"Unidad":"€"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/volumen-exportaciones/120bd0a6-4cd8-4071-9c10-a6a6d1481952"
"Titulo":"Volumen de las exportaciones de la UE a otros países"
"Subtitulo":""
